"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s332_P2_760","s358_P2_865","s359_P2_950","s364_P2_972","s486_P3_279","s697_P2_870","s732_P2_199","s735_P2_479","s738_P2_114"
"ABCB4",0.00473636333812167,0.0235455302971436,0.00787891236650099,0.0154485184157169,0.000789393889686945,0.02988471153099,0.0202600603710025,0.074152888395441,0.00157878777937389,0.00543358391472545,0.00112555890950014,0.010041536970216,0.00789393889686945,0.0144895571059345,0.0135067069140017,0.010041536970216,0.00157878777937389,0.378540584989859,0.0765368802871001,0.0123588147325735
"ABCB5",0,0,0,0,0,0.00160917509952528,0.000780728605158036,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0.355627038885494,0.588018347068995,0.797361440010311,0.27685573955781,0.25852205981699,0.212636466767119,1.14492609104852,0.255083445401616,0.608653376749945,0.127157768215133,0.689985384137396,0.15740051043294,0.0925217379646408,0.457804142343467,0.367444866073672,0.160433154671795,2.20326965887351,0.394880872804329,0.713776158467494,0.267659089042573
"ABCC1",0.0179537964675606,0.00709045370945977,0.0075841175561373,0.00470491472458714,0.0159274240748799,0.00166052780081025,0.0161235724400221,0.00941401248443579,0.0304230245541079,0.0114132358376133,0.00635361965656817,0.0121247029946041,0.013598593499686,0.00478446541976961,0.00912313163558382,0.00751179512655484,0.100295111670202,0.00304632107496576,0.00298609492123737,0.00325878366087717
"ABCC10",0.000162186964499366,0.00016442697945408,0.000557763002161217,0.00020426567703412,0.000325666265692877,0.000114061444930105,9.0107921829294e-05,0.000432561503894496,0.000144548977773912,0.000321446630916303,0.000147495089921694,0.000152023427093355,0.000189720533328259,0.000179981553512373,0.000941977643483001,0.000177098933887355,0.000315335746040243,0.000319964572790945,0.000107727292622295,0.000148889968276497
"ABCC11",2.00051143608932e-05,0.000335118496602783,8.60555879333212e-06,8.06610757687041e-05,4.00102287217864e-05,0.000150810864014453,0.000146303105045439,2.93313002795287e-05,0.000180046029248039,0.000234594677355816,0.00012047782310665,8.79939008385862e-05,0.000180046029248039,0,6.8844470346657e-05,7.33282506988219e-06,0.000860219917518408,0.000117297338677908,6.8844470346657e-05,0
"ABCC2",0.000228224612842274,0.00697547601175163,9.26636696343187e-05,0.00025825785887271,4.02749316780483e-05,0.00507723933208202,0.000357417011446658,2.76704848792189e-05,0.0251991297524731,7.61205297163722e-05,3.53004455749786e-05,0.000700985616940213,0.000331158388226548,5.70903972872791e-05,0.000445668125384104,0.000304375333671408,0.0139238493797349,3.04482118865489e-05,5.29506683624678e-05,0.000101458444557136
"ABCC3",0.0809022780012245,0.073780842353398,0.0899070397195547,0.0159041021723561,0.0390303022043782,0.0622199670565916,0.0117085385730384,0.0523609832814549,0.150194805102273,0.0692144038256146,0.0227014595455155,0.0161960063476293,0.00459613249097349,0.0654810727084127,0.0286979211870764,0.0379472871838802,0.060280598720971,0.0355397932050778,0.00621675115595048,0.00715684597756023
"ABCC4",0.00470451218671904,0.000612062670533885,0.00183911693393859,0.00202193885665409,0.0062336668278902,0.00211439538786026,0.00110546648810692,0.034200639632683,0.0042835410313734,0.00154040652966901,0.00317051032821647,0.00464297070787235,0.00268584877569051,0.00318742617666236,0.00168689694347692,0.00626324494317091,0.00429393657769629,0.00364307022825579,0.00933532511634647,0.0170018711368598
"ABCC5",0.00218205003979173,0.00879256893401765,0.00582597665521325,0.00848332548792393,0.00409872663971456,0.00422365825996545,0.0112515739237422,0.0184532043168751,0.00128760030456042,0.00501775204726141,0.00316055720464426,0.00647116647375329,0.00679182622328732,0.0042639383796109,0.00604950098551709,0.00733143226415457,0.0443888999925851,0.00606503515804304,0.0413693112349006,0.00355486932316689
