"","s201_P2_195","s332_P2_760","s486_P3_279","s697_P2_870","s738_P2_114"
"KCNE5",0,7.98e-05,0,9.68e-06,0
"KCNG1",0,0,1.81e-05,0.000923168,0
"KCNG2",0.001043453,2.45e-05,2.45e-05,7.91e-05,0
"KCNG3",0.000165387,0.000202535,1.81e-05,6.43e-05,0
"KCNG4",0,0,5.61e-06,0,0
"KCNH1",5.5e-05,2.37e-05,0.00397775,0,2.37e-05
"KCNH2",0.006517674,0.00104913,0.017101628,0.000134697,6.8e-05
"KCNH3",2.83e-05,3.05e-05,0.000182978,0.000232099,0.000152481
"KCNH5",0,0,0,0.002467147,0
"KCNH6",3.96e-07,0,0,2.79e-07,5.38e-07
"KCNH8",1.02e-05,1.99e-06,1.6e-05,3.03e-05,1.99e-06
"KCNJ1",0,6.18e-07,6.18e-07,7.68e-07,6.18e-07
"KCNJ10",0.000237645,0.000397396,0.000298047,0.000144605,9.93e-05
"KCNJ12",0,0,0.000162711,0.000498187,0
"KCNJ14",5.21e-05,4.9e-05,8.14e-05,4.04e-05,4.51e-05
"KCNJ15",0.000253137,8.77e-06,2.11e-05,7.31e-05,0.000501786
"KCNJ16",0,0,0,0,0
"KCNJ2",6.33e-05,9.93e-05,0.000278145,2.04e-05,3.97e-05
"KCNJ3",0,0,0,0,1.87e-06
"KCNJ4",7.95e-06,6.76e-06,3.38e-06,3.92e-06,0
"KCNJ6",0,0,3.13e-05,1.9e-05,4.69e-05
"KCNK1",0.001269193,0.008532381,0.00291225,0.011000091,0.007193768
"KCNK10",0,0,0,0.000404017,0
"KCNK12",4.15e-05,4.42e-06,6.63e-06,3.92e-05,2.21e-06
"KCNK13",5.9e-05,0.000166174,3.32e-05,1.56e-05,0
"KCNK17",0,0,0.000108565,0,1.21e-05
"KCNK2",1.3e-05,3.35e-05,0,0.00018525,4.57e-06
"KCNK3",2.48e-05,1.85e-05,6.78e-05,6.03e-05,0
"KCNK4",0,0,0,0,0
"KCNK5",0.006801877,0.002805439,0.00106395,0.001946319,0.012894433
"KCNK6",0.000202069,0.002553459,0.000379799,0.002708792,0.000344709
"KCNK7",1.39e-05,0,1.75e-05,0.000114188,0
"KCNK9",0,5.61e-06,0,0,1.87e-06
"KCNMA1",1.67e-05,0.000457366,0.001443364,0.000181604,3.59e-05
"KCNMB1",0,1.25e-05,2.49e-05,1.29e-05,0
"KCNMB2",0,0,0,0,0
"KCNMB3",0.001126623,0.000890484,0.000728889,0.001193773,0.000742036
"KCNMB4",0.004419929,0.003817959,0.000466042,0.001336615,0.005126461
"KCNN2",0.000374509,0,3.89e-06,0,8.55e-05
"KCNN4",0.00338126,0.004454198,0.002370637,0.000198088,2.38e-06
"KCNQ1",0,0.000174273,3.11e-05,0.001330558,0.000597508
"KCNQ2",1.98e-06,0,0,4.52e-05,0
"KCNQ3",0.005065506,0.000635012,0.00374921,3.7e-05,0.003067795
"KCNQ4",0.000232155,0.000232407,8.08e-05,1.46e-05,4.83e-05
"KCNQ5",0.005360051,0.001916365,0.001172726,0.000570805,0.000164414
"KCNS1",1.2e-05,0,0.000147,0,4.32e-06
"KCNS3",0.009046714,0.002281854,0.001628963,0.004435643,0.001005452
"KCNT1",0,0,1.2e-05,0.000198521,2.39e-05
"KCNT2",8.8e-06,7.08e-05,0.000109917,1.28e-06,0
"KCNU1",0,0,0,0,0
"KCNV1",5.42e-06,0,0,0,0
"KDR",0.003706751,0.017274872,0.004130948,0.000688104,0.001642991
"KEL",4.46e-06,1.08e-06,1.08e-06,9.2e-07,0
"KIAA0319",5.67e-06,4.88e-06,8.13e-06,0.000291091,8.95e-05
"KIAA0319L",0.384487724,0.480682504,0.522383094,0.13381656,0.225191228
"KIAA1549",0.012523797,0.055028556,0.010295917,0.050552664,0.024335804
"KIAA1549L",2.66e-07,0.001535254,5.45e-07,8.25e-05,0
"KIRREL2",2e-05,0.000159684,0.000323462,0,8.19e-06
"KIRREL3",5e-07,0,3.86e-07,0,3.86e-07
"KISS1R",1.95e-05,1.18e-07,7.07e-07,1.02e-06,7.42e-06
"KIT",1.98e-05,2.31e-05,2.5e-05,2.8e-06,0.000141202
"KITLG",0.027763768,0.017649138,0.022654057,0.021398625,0.006567459
"KL",0,4.83e-07,9.67e-07,0,0
"KLRB1",0,0,0,0,0
"KLRC1",3.42e-05,3.87e-06,0,0,0
"KLRC2",1.54e-05,1.79e-06,6.35e-05,0,0
"KLRC3",8.74e-06,0,6.37e-06,0,0
"KLRC4",3.24e-06,0,3.36e-06,0,0
"KLRD1",6.22e-05,0.00018555,6.63e-05,3.62e-05,0
"KLRF1",0,0,0,0,5.84e-05
"KLRF2",0,0,0,0,1.44e-06
"KLRG1",4.69e-06,0,9.8e-06,3.17e-06,0
"KLRG2",0.0004821,0,5.29e-05,0.007791883,0
"KLRK1",1.03e-06,0,6.91e-06,2.94e-07,7.02e-07
"KMT2E",0.000624074,0.000531142,0.000490267,0.000565121,0.000287012
"KRAS",0.001089818,0.001451449,0.000330587,0.000669014,0.000260912
"KREMEN1",0.008836058,0.002333468,0.002060222,0.028173697,0.002350467
"KREMEN2",1.41e-05,4.88e-05,1.95e-05,0.001025599,9.77e-06
"KRT1",0,0,0,9.36e-05,0
"L1CAM",0.000348502,0.000410237,0.000120576,0.000515115,2.49e-05
"LAG3",3.53e-05,0.00024277,0.000161847,0.001106369,0.000121385
"LAIR1",8.23e-05,0,0,0,0
"LAMP1",0.004411405,0.012775573,0.006707968,0.005694263,0.001305039
"LAMP2",0.002360422,0.003422792,0.00195721,0.01165039,0.001589632
"LAMP3",0.000176069,0.001988223,8.12e-05,0.000675332,4.87e-05
"LAMP5",0,0,0,0,0
"LAMTOR1",0.016950134,0.029518092,0.014010344,0.013136301,0.006626514
"LANCL2",0.003519395,0.002086328,0.001445905,0.00149528,0.000581003
"LAT",8.83e-05,2.46e-05,0.000588493,2.39e-05,6.78e-06
"LAX1",4.6e-06,1.58e-06,1.58e-06,1.13e-05,0
"LAYN",0.000538521,0.037775101,0.015847399,0.014408027,0.000183207
"LCK",7.46e-05,0.000829222,6.27e-05,4.93e-05,2.09e-06
"LCP1",0.000996823,0.02069139,0.000896943,0.001063626,0.00015179
"LCT",0.000202561,0,7.14e-06,0,0
"LDLR",0.025426481,0.041099495,0.003210528,0.054631012,0.018976483
"LDLRAD3",0.00714638,0.006256108,0.001763204,0.005887919,7.84e-05
"LEPR",3e-05,5.35e-05,7.79e-05,1.69e-05,6.44e-06
"LGR4",0.075780793,0.025823085,0.010416152,0.00590366,0.012252647
"LGR5",2.73e-05,4.58e-05,5.23e-05,3.83e-06,0.000114397
"LGR6",0.000335866,0.000141841,0.0013652,0.001377106,0.000283682
"LHCGR",0.000178007,0,1.17e-05,0,3.78e-06
"LHFPL1",2.09e-06,0,2.45e-06,7.04e-05,0
"LHFPL2",0.00390746,0.001153954,0.000630735,0.0008936,1.59e-05
"LHFPL4",8.76e-06,0,5.55e-05,0,0
"LHFPL5",0.000267319,0.000350479,0.001620967,0.000217804,0
"LIFR",0.003364337,0.004539911,0.010568336,0.006427851,0.01586952
"LILRA6",0,0,0,0,0
"LILRB2",0,0,0,0,0
"LILRB3",5.23e-07,0,1.71e-05,0,0
"LILRB5",0,0,0,3.04e-06,0
"LIMA1",0.007411676,0.004885477,0.000708515,0.005860897,0.002251758
"LIME1",0.000131971,3.41e-05,8.94e-05,4.14e-05,2.84e-05
"LIN7C",0.002609587,0.005456783,0.001771884,0.002030624,0.001077895
"LINGO1",2.51e-05,0.000118368,0.000180897,0.00053869,0.000124598
"LINGO2",0,0,1.25e-05,0,0
"LINGO3",0,0,0,0,1.66e-06
"LINGO4",8.61e-05,0.000278307,6.18e-05,0,6.18e-05
"LIPH",0.00445781,0.008374646,0.0004219,0.001614103,0.001954217
"LMAN2",0.065331293,0.063911003,0.025231126,0.187520732,0.037298293
"LMBR1",0.015492396,0.004342967,0.003005546,0.008605134,0.000947582
"LMBR1L",0.002563078,0.002865529,0.002638186,0.001154328,0.001443872
"LMBRD1",0.02887742,0.029844614,0.011618172,0.02251291,0.016789266
"LMBRD2",0.006483618,0.002756241,0.001787941,0.001970793,0.003186151
"LMF2",0.001907693,0.001553502,0.000761795,0.000896818,0.000540379
"LMTK2",0.003154074,0.0039632,0.002130451,0.002191228,0.001234633
"LNPEP",0.124840349,0.0710609,0.063414618,0.092319497,0.039196871
"LPAR1",6.83e-05,0.000444069,2.11e-05,0.00082543,3.52e-05
