"","s201_P2_195","s332_P2_760","s486_P3_279","s697_P2_870","s738_P2_114"
"PCDHB16",0.000105623,8.07e-06,2.87e-05,2.1e-05,9.16e-06
"PCDHB18P",0.000111122,7.82e-06,5.08e-05,0.000140799,8.21e-05
"PCDHB2",0.001166383,1.33e-05,0.000891734,0.000793025,0
"PCDHB3",7.13e-05,0,8.86e-05,3.53e-05,0
"PCDHB4",4.22e-05,6.02e-07,1.81e-05,1.17e-05,5.26e-05
"PCDHB5",9.92e-06,2.21e-05,9.29e-06,0.000629801,5.81e-07
"PCDHB6",8.04e-06,0,0.000105321,0.000439895,0
"PCDHB7",0.000131072,3.13e-06,0.000633571,9.82e-05,7.52e-05
"PCDHB8",4.74e-05,8.88e-07,0.000279781,0.000142247,7.39e-05
"PCDHGA1",1.1e-05,1.65e-06,1.25e-05,3.62e-05,7.03e-06
"PCDHGA10",5.49e-05,0.000234468,8.21e-05,2.63e-05,4.34e-05
"PCDHGA11",0.000146941,4.21e-05,3.61e-05,2.99e-05,8.38e-05
"PCDHGA12",2.25e-05,0,3.95e-05,8.22e-06,2.23e-05
"PCDHGA2",5.54e-05,5.07e-06,0.000116498,0.000762859,7.19e-05
"PCDHGA3",3.83e-07,0,2.14e-05,2.39e-05,2.12e-06
"PCDHGA4",6.91e-05,9.78e-06,9.53e-05,3.88e-05,2.52e-05
"PCDHGA5",6.61e-05,1.53e-05,4.69e-05,3.6e-05,1.81e-05
"PCDHGA6",0.000704504,7.44e-05,0.000196885,0.000200837,6.85e-05
"PCDHGA7",1.23e-05,5.42e-07,1.78e-05,0.000126916,9.01e-06
"PCDHGA8",0.000143565,2.55e-05,8.63e-05,0.000165259,6.74e-05
"PCDHGA9",9.82e-06,3.01e-06,3.14e-06,2.16e-05,5.79e-06
"PCDHGB1",0.00029294,1.95e-05,0.000832786,0.000251931,0.000177229
"PCDHGB2",0.000330939,0.000790905,0.00017495,0.000368906,0.001883254
"PCDHGB3",0.000141625,2.23e-05,4.71e-05,6.24e-05,5.34e-05
"PCDHGB4",6.32e-05,2.94e-05,1.46e-05,0.000853824,8.41e-06
"PCDHGB5",2.63e-06,0,5.02e-06,0.000755678,1.83e-06
"PCDHGB6",0.000182019,3.49e-05,0.000106588,0.000209753,0.000444073
"PCDHGB7",6.04e-06,2.14e-05,0.000213244,6.69e-06,2.68e-06
"PCDHGC3",0.018210022,0.012253541,0.009412374,0.056122846,0.010688941
"PCDHGC4",2.51e-05,2.61e-05,0.000227795,7.66e-06,4.89e-05
"PCDHGC5",0.000151133,0.000120875,0.000180296,7.64e-05,6.18e-05
"PDCD1",1.09e-05,2.92e-06,9.06e-06,0,1.46e-06
"PDCD1LG2",0.000992224,0.000379336,0.00040041,0.000295252,1.05e-05
"PDE2A",0.001325155,0.005902194,0.000675364,0.000531891,0.000209043
"PDE4A",0.011221523,0.010563257,0.003139539,0.004050408,0.002561017
"PDGFC",0.013796236,0.07982593,0.062018204,0.008023811,0.008266347
"PDGFRA",4.27e-05,8.84e-05,2.19e-05,0.000366132,1.78e-05
"PDGFRB",0.00024946,0.000241896,0.000199209,6.26e-05,4.27e-05
"PDLIM5",0.003226137,0.003137605,0.001176031,0.006359229,0.000970646
"PDPN",0,0,0,0.001179309,0
"PEAR1",0.000480514,0.000143466,0.000412465,0.002852204,0.00082493
"PECAM1",2.86e-05,0.001230336,1.54e-05,9e-06,4.61e-05
"PGAP1",1.41e-05,8.76e-05,0.000115377,0.000195265,2.07e-05
"PGRMC2",0.021467547,0.024342148,0.018224633,0.012003439,0.005313025
"PHEX",0.000659706,9.35e-05,1.2e-05,0.000198668,3.26e-06
"PI4K2A",0.000284385,0.000423648,0.000187102,0.000328894,6.15e-05
"PI4KA",0.02194551,0.009612353,0.015033418,0.011297165,0.003608545
"PIANP",5.88e-05,5.01e-05,4.67e-05,2.04e-05,2.22e-05
"PICALM",0.010534688,0.026664436,0.01063429,0.006541118,0.004574968
"PICK1",0.000645463,0.000275058,0.00022525,0.000433875,0.00015537
"PIEZO1",0.003956751,0.001268105,0.000793142,0.001168176,0.00027595
"PIEZO2",0.000741132,0.000725284,0.000973767,0.000159751,0.000423082
"PIGB",0.000248889,0.000367616,0.000276317,0.000222936,7.51e-05
"PIGN",0.000604215,0.000823941,0.000290492,9.02e-05,0.000167253
"PIGR",0.000962253,0.000100166,5.89e-06,3.8e-06,0.029217245
"PIGW",0.002146463,0.001759494,0.000709665,0.002434457,0.000772981
"PIK3AP1",0.001101396,0.000170949,0.00018595,4.77e-05,1.97e-05
"PIK3C2A",0.000698779,0.001794888,0.000389839,0.000943708,0.000316806
"PIK3CG",0.000118936,9.01e-05,6.86e-05,4.38e-05,9.79e-06
"PIK3IP1",0.000507746,0.000576269,0.000257021,0.000342191,0.000838699
"PILRA",1.22e-06,3.8e-06,2.77e-06,3.62e-06,4.5e-06
"PILRB",0.006533892,0.001412406,0.002200698,0.002484067,0.001831833
"PIP5K1A",0.00065522,0.000396129,0.000262364,0.000363912,0.000135104
"PITPNM3",0.00141262,0.003421805,0.000136257,0.001003344,0.000475886
"PKD1",0.000571979,0.000403672,0.000659114,0.000641471,0.000239362
"PKD1L1",1.51e-05,3.09e-06,4.12e-06,2.15e-05,7.21e-06
"PKD1L2",2.71e-05,5.14e-06,3.42e-05,0.000320042,0
"PKD1L3",0,0,0,7.71e-07,0
"PKD2",0.000312206,0.00332158,0.004334404,0.001736459,0.000470967
"PKD2L1",0,0,0,0,0
"PKDREJ",2.49e-06,0,3.4e-06,0,0
"PKHD1",0.00038782,0,0,1.69e-06,0
"PKN1",0.010695255,0.005434007,0.001495263,0.002077267,0.001492458
"PKN2",0.001152123,0.001037774,0.000545767,0.001221533,0.00011675
"PKP2",0.000327824,0.002267399,3.89e-05,0.004348395,6.18e-07
"PKP3",0.001224246,0.001509067,0.00037657,0.00156895,0.000357838
"PKP4",0.000330947,0.000316245,0.000243153,0.000412838,0.000213685
"PLA2G2A",0,0,0,0,0
"PLA2G2F",3.34e-05,0,0,1.88e-05,0
"PLA2G3",0,2.17e-05,3.34e-06,6.94e-06,0
"PLA2R1",1.19e-05,5.71e-05,7.32e-05,3.69e-05,5.06e-05
"PLAUR",0.004059309,0.004324591,0.002427806,0.001697301,9.93e-05
"PLB1",0.013912051,0.006081577,0.002301137,0.039598173,0.000410917
"PLBD2",0.002683169,0.001434068,0.001371483,0.001234019,0.000366539
"PLCD3",0.00016462,0.001907489,0.000483406,0.001078095,0.000107786
"PLD1",1.06e-05,2.73e-05,9.66e-06,8.3e-05,2.97e-06
"PLD3",0.008536159,0.008750021,0.005875902,0.008607271,0.002979973
"PLD4",4.26e-05,2.06e-05,7.2e-05,5.31e-05,0
"PLEK2",0.001439248,0.00185658,0.000191581,0.002566865,1.55e-05
"PLEKHH2",0.0016229,0.000197673,6.08e-05,0.000229585,0.006784751
"PLIN4",0.000103951,0.000190723,7.69e-05,0.000230106,0.000516799
"PLP1",9.16e-07,9.5e-07,4.75e-07,7.82e-07,0
"PLP2",0.000930321,0.003356688,0.000706081,0.004454422,0.000478154
"PLSCR1",0.00044639,0.001472718,0.000322057,0.00018843,0.000365483
"PLSCR4",0.000143219,0.012226801,0.015645912,0.003060588,0.000905689
"PLVAP",0,0,0,2.27e-06,0
"PLXDC1",2.66e-05,1.69e-05,9.65e-05,2.9e-05,9.65e-06
"PLXDC2",9.58e-05,8.78e-05,0.000251206,1.96e-05,5.27e-05
"PLXNA1",0.002273244,0.005463131,0.002248901,0.005632189,0.000179273
"PLXNA2",0.000577994,6.01e-05,0.001233262,0.000994572,0.000259508
"PLXNA3",0.002069706,0.000503809,0.000579629,0.000397877,0.000576972
"PLXNA4",2.33e-05,1.75e-05,1.5e-05,2.4e-06,4e-06
"PLXNB1",0.00122114,0.000232109,0.000402747,0.000500007,0.000299349
"PLXNB2",0.003121473,0.002920329,0.00178565,0.001960082,0.000950305
"PLXNB3",0.000945245,0.0002855,0.000237206,0.000106791,0.00070438
"PLXNC1",0.000517192,3.59e-05,0.000571216,3.43e-05,1.01e-05
"PLXND1",0.001706079,0.000898148,0.001524714,0.000347882,0.000644186
"PMEPA1",0.000888817,0.00052246,0.000377782,0.000573521,4.01e-05
"PMP22",4.83e-05,0.000237847,0.000201531,2.88e-05,5.36e-06
"PNPLA2",0.004677861,0.003324867,0.00180567,0.008069788,0.001946119
"PODXL",0.003203852,0.000200783,0.000662791,0.000985986,0.000605217
"PODXL2",0.001436492,1.29e-05,5.14e-05,0.000297916,0.00040997
"POMK",2.27e-05,0.000113493,4.47e-05,2.47e-05,8.1e-06
"POMT1",0.002624031,0.00284626,0.004106848,0.001533835,0.004498285
"POMT2",9.62e-05,6.07e-05,3.84e-05,9.16e-05,2.49e-05
"PON2",0.03072801,0.009891222,0.009604829,0.003831591,0.008230144
"POPDC2",7.02e-05,5.05e-05,0.000100989,6.15e-05,0
"PPP1R16A",0.001425625,0.000440589,0.000384452,0.00087026,0.000284088
"PPP1R16B",3.82e-05,0.000131392,2.96e-05,4.24e-05,1.97e-05
"PPP1R9B",0.01514962,0.00421511,0.00444989,0.003443919,0.0016876
"PREX1",6.81e-05,3.82e-05,7.23e-05,4.88e-05,1.04e-05
"PRF1",3.38e-05,0,1.44e-05,1.67e-05,0
"PRIMA1",0,0,0,0.000237187,0
"PRKCA",0.011281583,0.007017586,0.006274142,0.009160619,0.002488833
"PRKCH",0.00463775,0.003095857,0.00031541,0.007860978,0.000928706
"PRKD1",0.000117746,0.000142535,0.000751549,0.00033124,0.000894085
"PRLR",0.002314961,2.3e-05,9.5e-05,0,0.000945715
"PRMT8",9.73e-06,0,0,0,2.26e-05
"PRND",0,1.6e-05,0,0,0
"PRNP",0.009881966,0.034592011,0.038892221,0.02182522,0.006592178
"PROCR",7.88e-05,2.84e-05,3.77e-05,3.76e-05,4.1e-07
"PROKR1",0.000415322,0,0,0,0
"PROKR2",0.001043201,0.003579535,0,0.0021949,0
"PROM1",0.014735017,0,0,0,0
"PROM2",0.1782134,0.026657067,0.00157669,0.311218924,0.002053401
"PRPH2",0,0,0.000794981,0,0
"PRR7",0.20876749,0.145866042,0.064829352,0.137117025,0.122834562
"PRRG1",0.151681123,0.11042475,0.181473233,0.064917079,0.103148701
"PRRT2",0.016417194,0.003068995,0.135035011,0.003790929,0.020715716
"PRRT3",0.026065377,0.006663118,0.033315591,0.047609171,0.005076661
"PRRT4",0.011565096,0.003316887,0,0.068021729,0.005804551
"PRSS21",0,0,0.213403908,0.386189814,0
"PRSS41",0,0,0,0,0
"PRSS8",0.000977493,0.000163095,8.13e-05,0.000141464,0.000261044
"PRTG",0.005401747,0.002105598,0.003399496,3.71e-05,0.000731334
"PRX",0.00033928,0.000289374,0.000148078,0.000261597,5.76e-05
"PSCA",1.04e-06,4.85e-06,0,0.001795132,0
"PSD",3.28e-06,1.94e-06,8.91e-05,5.08e-06,2.78e-07
"PSD4",0.001964086,0.002622738,0.000273226,0.003381555,0.000933793
"PSEN1",0.000520957,0.001642574,0.001223102,0.001698202,0.000516995
"PSEN2",0.00014953,6.78e-05,2.86e-05,2.27e-05,6.46e-05
"PSENEN",0.001666199,0.004535122,0.000676845,0.001018835,0.000609459
"PTAFR",2.46e-05,0.000198614,8.62e-06,0.000365888,0
"PTCH1",0.000502744,3.85e-05,7.16e-05,0.000209182,0.000449023
"PTCH2",3.73e-06,1.74e-06,4.64e-06,2.39e-06,5.22e-06
"PTCHD1",2.94e-05,2.38e-06,6.34e-06,8.08e-06,3.96e-06
"PTCHD3",0,0,0,0,3.64e-05
"PTCHD4",1.29e-06,2.16e-06,6.47e-05,2.22e-06,3.24e-06
"PTGDR",0,0,0,0,0
"PTGDR2",0,7.89e-07,3.94e-07,6.5e-07,3.94e-07
"PTGER1",1.3e-05,7.93e-06,3.05e-07,1.43e-07,0
"PTGER2",6.32e-05,3.3e-06,1.15e-05,3.07e-06,2.47e-06
"PTGER3",2.21e-05,1.54e-05,1.54e-05,1.49e-05,0
"PTGER4",9.29e-05,0.003249249,0.000112654,7.18e-05,0
"PTGFR",0,0.000163941,0,0,0
"PTGFRN",0.000558247,0.000323155,0.000155971,0.00072388,0.00015807
"PTGIR",4.59e-07,4.68e-07,7.79e-07,0,1.56e-07
"PTH1R",1.1e-05,1.68e-05,1.24e-05,2.49e-06,5.32e-06
"PTH2R",0,0,0,0,9.81e-07
"PTK2",0.000238917,0.001574826,0.001201992,0.002333065,0.000400096
"PTK2B",0.001271663,0.0003336,0.000323854,0.001410831,0.000393572
"PTK6",0.00394049,0.00285408,0.001472705,0.006118793,0.000964679
"PTK7",0.007340933,0.001849775,0.000862954,0.003952024,0.00245681
"PTPN13",0.002179461,0.000647705,0.000698187,0.001912251,0.000125193
"PTPN22",2.01e-05,7.4e-05,5.78e-06,3.93e-06,1.16e-06
"PTPN4",0.001778166,0.001234058,0.001780716,0.000935284,0.000402957
"PTPRA",9.77e-05,0.000170281,9.72e-05,1e-04,6.34e-05
"PTPRB",4.01e-05,0.000323459,0.00013538,5.57e-05,3.87e-05
"PTPRC",0.001405551,0.000916436,0.000985169,0.00018238,0.000122191
"PTPRCAP",0,0,0,0,0
"PTPRD",4.77e-05,0.000187188,0.000151687,0.000271088,0.000158142
"PTPRE",0.001110877,0.000808812,0.0026084,0.00031143,0.001055885
"PTPRF",0.046664061,0.044116881,0.042635663,0.026910928,0.018105545
"PTPRG",0.00304862,0.000259312,0.00490003,0.000750311,0.000251783
"PTPRH",0.000509462,0.000164065,1.84e-05,2.93e-05,0.000111026
"PTPRJ",0.000242555,0.000371227,4.88e-05,5.97e-05,3.08e-05
"PTPRK",0.006883907,0.001496586,0.001317134,0.001742982,0.000709743
"PTPRM",0.00114999,0.001169355,0.001134818,0.00073507,0.000155579
"PTPRN",6.68e-05,0.000126986,0.000354162,2.81e-05,2.1e-05
"PTPRN2",2.66e-06,5.73e-06,2.58e-05,5.7e-05,0
"PTPRO",1.61e-05,8.07e-06,9.26e-06,4.63e-06,1.77e-06
"PTPRQ",0,0,9.08e-06,0,0
"PTPRR",0,7.88e-05,4.99e-06,1.14e-05,9.98e-07
"PTPRS",0.001433831,0.000220141,0.000390552,0.000653782,0.000262522
"PTPRT",0,0,0,7.52e-07,1.25e-05
"PTPRU",0.001479708,0.001229877,0.000334982,0.002174033,0.00025363
"PTPRZ1",0,0,0,0.000422821,3.97e-05
"PVR",0.004955475,0.020770995,0.009252964,0.006433563,0.004609331
"PVRIG",0,0,0,0,0
"PXK",0.002346659,0.002660591,0.002401328,0.001039487,0.000875524
"QRFPR",0,0,0,7.24e-07,0
"QSOX2",0.023220051,0.010074539,0.013060852,0.017173847,0.008318011
"RAB11A",0.029712115,0.058069606,0.038080251,0.032787788,0.012858382
"RAB11FIP2",0.000829416,0.001907413,0.001297738,0.00079672,0.000434679
"RAB13",0.005894004,0.004482033,0.003423014,0.012208193,0.002621705
"RAB23",0.001168298,0.003320041,0.001960734,0.00357892,0.000112627
"RAB25",0.004765196,0.002739518,4.99e-06,0.005123045,0.0030317
"RAB35",0.001411825,0.004053043,0.001634644,0.002204353,0.000716616
"RAB3B",7.03e-06,3.53e-05,0.00073001,0.000622821,3.53e-05
"RAB5C",0.004322588,0.006550716,0.004182252,0.005054553,0.002136168
"RAB8A",0.02524648,0.012355885,0.004034274,0.012230389,0.00302442
"RAC1",0.287377445,0.216097879,0.073410958,0.355384749,0.035143175
"RAC3",0.001449422,0.000168772,0.000156608,0.002134481,0.000115555
"RAET1E",5.23e-05,0.000457637,4.22e-05,0.000191721,3.12e-06
"RAET1G",3.76e-06,6.44e-05,4.87e-05,0.000214656,7.69e-06
"RAET1L",2.44e-05,0.000206379,7.22e-05,0.002098207,0
"RALA",0.002716308,0.001766225,0.000825751,0.002081088,0.000264938
"RAMP1",0.000707488,0.001073268,0.001379007,9.6e-05,0.003837651
"RAMP2",0.000105595,3.72e-05,5.97e-05,5.22e-05,2.48e-05
"RAMP3",0,0,0,0,0
"RAPH1",0.003544651,0.002874137,0.001264045,0.002017295,0.000752359
"RAPSN",1.22e-06,0,7.51e-07,0,2.5e-07
"RASA3",0.000347966,0.00718078,0.00200043,0.001342835,4.82e-05
"RASA4B",0.637475658,0.044434867,0.120150653,0.080697851,0.029042268
"RASD1",7.09e-05,4.89e-06,6.03e-06,7.18e-06,0.000119673
"RASD2",0.000562092,0.000634445,0.000194427,0.00030797,7.5e-05
"RASGRP1",0.000239027,2.27e-05,0.000469769,0.000134181,1.13e-05
"RDX",0.004159825,0.01203761,0.003408007,0.004273202,0.003047843
"RECK",9.3e-05,0.000139921,0.000283141,0.000210638,0.000114343
"RELL1",0.002721952,0.002849757,0.002500567,0.003859056,0.000259068
"RELT",0.008184326,0.004551365,0.017522622,0.003076537,0.002275671
"REPS1",0.028992238,0.019210521,0.004948415,0.025189828,0.004314001
"RET",0.00012928,0.000139041,7.42e-05,6.91e-05,0.000213197
"RGMA",0.236157978,0.00564298,0.003078269,0.188410026,0.003078269
"RGMB",0.547148995,0.579551352,0.598794132,0.473303983,0.507908458
"RGS1",0.000521825,0,0.010386916,0,0.00244398
"RGS2",0.01153902,0.001490501,0.000791829,0.005330924,0.033955893
"RHAG",0,0,0,0,0
"RHBDF2",0.008150234,0.02566796,0.020709417,0.021896516,0.004352765
"RHBDL2",0.000355133,0.000316796,0.000139649,0.000401311,6.23e-05
"RHBG",5.64e-05,2.13e-05,0,2.41e-05,3.79e-05
"RHCE",3.97e-05,1.01e-05,1.34e-06,8.97e-06,1.34e-06
"RHCG",1.97e-05,8.49e-05,1.7e-05,0.045559272,0
"RHD",3.19e-05,7.3e-06,0,0,0
"RHO",0,0,0,0,0
"RHOA",0.004748883,0.003186412,0.004104704,0.003481627,0.00111949
"RHOB",0.033507068,0.018831034,0.021727707,0.023483096,0.009326472
"RHOBTB2",0.001680038,0.000692774,0.001611057,0.001153277,9.35e-05
"RHOC",0.002484294,0.001691792,0.000984083,0.002690379,0.000603421
"RHOJ",2.1e-05,3.19e-05,2.13e-05,4.65e-06,1.45e-05
"RIMS2",0.000534598,8.59e-05,0.000262578,0.000593853,1.41e-06
"RIPK1",0.002637945,0.002089339,0.000928033,0.001490176,0.00097458
"RND1",0.003262451,0.000852796,0.001648308,0.000140187,0.001431922
"RNF128",0.048796355,0.001537171,0.002023618,0.02290786,0.013678877
"RNF13",0.000292911,0.000444537,0.000239998,0.000362284,8.16e-05
"RNF149",0.008690921,0.002892887,0.001040847,0.003208043,0.000532543
"RNF150",0.00017497,0.000266575,0.002644703,9.15e-05,3.51e-05
"RNF43",0.003515565,0.001709628,0.003953195,0.004879526,0.001430802
"ROBO1",0.000150494,0.000853742,0.002509027,3.42e-05,3.83e-05
"ROBO2",7.12e-06,9.71e-06,0,1.48e-06,0.000359103
"ROBO3",0.000446037,1.14e-05,4.35e-05,0.000172443,2.74e-05
"ROBO4",0,4.41e-05,6.62e-05,0.000136205,0
"ROM1",0.008035551,0.001989387,0.001675273,0.001034378,0.000837672
"ROR1",0.01529268,0.013802386,0.023208884,0.001610255,0.000166021
"ROR2",1.3e-05,4.37e-05,6.02e-06,0.000635814,6.02e-06
"ROS1",0.015277802,0.003606544,0.000516098,6.11e-05,3.07e-05
"RP2",1.96e-05,0.000392943,7.85e-05,9.52e-05,5.59e-05
"RPRM",0,0,0.000131553,0,0
"RPRML",0,0,0,5.96e-05,0
"RPSA",0.133409064,0.059310179,0.088321178,0.131249719,0.029160881
"RRAD",0.005114665,0.026961633,0.027902155,0.003196431,0.002731993
"RRH",5.78e-06,4.84e-06,3.77e-06,8.29e-07,0
"RSC1A1",0,0,0,0,0
"RTN4",0.012439188,0.051096912,0.020536437,0.040202683,0.006866224
"RTN4R",0.003089649,0.002206623,0.001920049,0.001101322,0.002407225
"RTN4RL1",1.38e-05,2.68e-05,3.35e-06,0.001013509,2.01e-05
"RTN4RL2",0.009043677,0.004879657,0.000481545,0.000698212,0.003210301
"RXFP1",0,0,0,0,0
"RXFP3",6.72e-05,7.57e-05,0,0,3.79e-05
"RXFP4",0.000110792,0,0,0.000157973,0
"RYK",0.006287629,0.005716007,0.004669458,0.004084232,0.000851653
"RYR1",0.042035764,0.143202167,0.179293242,0.40870131,0.040064198
"RYR2",6.28e-05,1.02e-05,0.000150717,0.000384559,0.000907691
"RYR3",8.01e-06,0,2.3e-06,3.13e-06,0
"S100A6",1.216327551,1.035441123,0.295613841,0.264288026,0.208067504
"S100A9",0.003455353,0.000469723,0,1.055236989,0
"S1PR1",7.05e-06,6.32e-05,4.17e-06,3.44e-06,2.94e-06
"S1PR2",0.023747086,0.00899649,0.003150286,0.003683838,0.004543682
"S1PR3",8.32e-05,7.32e-05,9.03e-05,0.00138572,0.000302604
"S1PR4",7.08e-05,1.93e-05,3.85e-05,2.5e-05,0
"S1PR5",9.38e-07,8.03e-07,1.28e-06,9.63e-05,4.82e-07
"SC5D",0.020781411,0.018807493,0.002594069,0.007329848,0.004177617
"SCAMP1",0.000973014,0.002360052,0.001349185,0.001246873,0.001189187
"SCAMP4",0.004515494,0.001400738,0.000504452,0.000929871,0.001014381
"SCAMP5",9.31e-05,4.61e-05,0.000134865,0.000131889,7.87e-06
"SCARA5",8.32e-06,5.71e-06,0.000234223,0,1.14e-05
"SCARB1",0.001248267,0.000376736,0.000166252,0.000645441,6.12e-05
"SCARB2",0.002687783,0.00144293,0.000982712,0.001043984,0.000458375
"SCARF1",0.00035823,0.003296496,0.001755472,1.17e-05,0.000103162
"SCARF2",0.000160749,8.47e-05,0.000244683,2.83e-05,5.23e-06
"SCART1",0.00028954,0.000289254,0.000460668,0.000134361,0.00026561
"SCEL",0.005616284,0.011955646,0.000695022,0.00696358,6.08e-05
"SCIMP",0,4.17e-07,0,0,0
"SCN10A",0,0,1.1e-06,0,0
"SCN11A",0.000162685,0,0.000466807,6.35e-05,0
"SCN1A",0,4.53e-05,0.0001379,0,0
"SCN1B",0.000138521,0.000354055,0.00036005,0.000128093,0.000192937
"SCN2A",3.99e-05,2.74e-05,0.000170483,7.84e-05,5.48e-06
"SCN2B",0.00059667,8.38e-05,2.04e-05,5.25e-06,4.53e-06
"SCN3A",0,0.000204936,0.000387123,2.97e-05,0.015479673
"SCN3B",0.0001683,3.14e-05,4.71e-05,0.000147297,0
"SCN4A",0.007378523,0.00033851,0.000603432,0.001069548,0
"SCN4B",0.000646029,0.000717631,2.87e-05,0.00060922,1.44e-05
"SCN5A",0.000130371,0.000642372,0.000233017,0.000157969,3.15e-05
"SCN7A",7.96e-05,2.36e-05,8.85e-05,9.72e-06,2.95e-05
"SCN8A",7.21e-05,2.05e-06,0.000131146,4.19e-05,5.38e-05
"SCN9A",6.33e-07,0.000162411,0.000567926,5.47e-05,3.23e-06
"SCNN1A",0.003225683,0.001536946,0.001073493,0.000767359,0.002254809
"SCNN1B",0.022843941,0.008473097,0.012826248,0.181609367,0.00256525
"SCNN1D",0.000383146,0.000437526,0.001701586,0.001221677,0.000534784
"SCNN1G",0.001484193,0.000255972,0.000343376,0.002770117,5.31e-05
"SCRIB",0.001565027,0.000993053,0.000464948,0.001512838,0.000161106
"SCTR",0,0,0,0,0
"SCUBE1",2.82e-06,5.89e-06,3.06e-05,1.71e-06,4.71e-06
"SCUBE3",0.000208073,0.000140285,2.58e-05,2.4e-05,5.53e-05
"SDC1",0.005558459,0.001067187,0.00040538,0.018602326,0.000217257
"SDC2",4.89e-05,2.22e-05,0.000922105,2.4e-05,0.000396243
"SDC3",0.003133075,0.001957059,0.001835273,0.000724734,0.001035723
"SDC4",0.105506778,0.066354863,0.038950996,0.041924917,0.022102954
"SDCBP",0.012960247,0.011505621,0.005361031,0.005256869,0.003115603
"SDCBP2",3.49e-05,0.000158553,1.48e-05,0.000618596,8.79e-06
"SDK1",5.49e-05,3.04e-05,2.21e-05,0.000993903,0.000111941
"SDK2",4.67e-05,3.2e-05,0.001784204,0.006585807,0.001192136
"SECTM1",0.000561001,0.000231428,0.000136756,0.000760296,0.001988226
"SEL1L3",0.010968338,0.021381286,0.009051177,0.002977903,0.010872335
"SELE",0.003864016,0.000933226,0.001516492,0.000289974,0
"SELL",0.00073944,0.000237138,0.000856107,0.000155694,5.02e-05
"SELP",0,1.11e-05,0,0,0
"SELPLG",5.53e-05,8.38e-06,3.69e-05,1.71e-05,2.93e-05
"SEMA4A",0.005915598,0.000534042,0.000572498,0.003760756,0.000162349
"SEMA4B",0.023661971,0.165696628,0.005750493,0.022083185,0.002170176
"SEMA4C",0.005247415,0.007137109,0.003054856,0.004189259,0.000699238
"SEMA4D",0.000605604,0.000518623,0.000237821,0.001035438,0.00087823
"SEMA4F",0.00134689,0.002063121,0.000937565,0.002781078,0.00028473
"SEMA4G",0.009472956,0.003607875,0.001985555,0.001316044,0.000484258
"SEMA5A",2.57e-05,1.79e-05,3.99e-05,0.000755882,0.000741503
"SEMA5B",0.001188567,0.000358697,0.001243485,0.000841598,2.39e-05
"SEMA6A",0.000637938,0.000477302,0.000774272,0.004508493,0.000222747
"SEMA6B",2.77e-05,0.000168476,0.000157946,3.41e-05,1.58e-05
"SEMA6C",0.00018137,2.73e-05,0.000217637,9.99e-05,5.55e-05
"SEMA6D",0.001969824,0.005850171,0.004217565,0.000911673,0.001904707
"SEMA7A",0.007679227,0.017091584,0.002081365,0.000620379,0.000302744
"SERINC1",0.012425767,0.016768692,0.008436883,0.013425384,0.004298921
"SERINC2",0.000614855,0.00085798,0.000120107,0.001792127,0.000179883
"SERINC3",0.010168888,0.005031397,0.005812122,0.004093555,0.00222737
"SERINC5",0.004647807,0.000835909,0.000678177,0.003286906,0.001318636
"SERPINA5",5.72e-06,0.000195611,0.000245342,2.08e-05,0
"SEZ6",0,0,2e-05,0,0
"SEZ6L2",0.034242657,0.005729314,0.017785083,0.033390641,0.000500306
"SGCA",0,9.38e-06,4.69e-05,0,0
"SGCB",0.000498041,0.001212295,0.00180364,0.000522485,0.000335798
"SGCD",3.05e-05,1.92e-05,2.55e-05,3.28e-06,4.26e-06
"SGCE",0.025976757,0.023273274,0.017485365,0.00028401,0.006370425
"SGCG",0,2.73e-06,2.73e-06,0,0
"SGCZ",0,0,0,1.37e-05,0
"SGMS2",0.009388217,0.00532056,0.00408118,0.005513256,0.002723568
"SH2B2",0.000354034,0.00014862,4.6e-05,0.000203811,8.67e-05
"SHANK1",8.68e-06,7.87e-05,8.61e-06,8.7e-05,1.23e-06
"SHC4",7.14e-05,4.52e-05,0.000149301,9.35e-05,4.52e-06
"SHH",0.010272233,0.000136576,0.001092605,0.00040525,0.002245911
"SHISA6",0,5.45e-05,2.72e-05,0,0
"SHISA7",0,3.16e-05,0,0.00037333,0
"SHISA8",0,4.31e-05,0,0,0
"SHISA9",0,0,7.94e-05,0,0
"SHROOM2",0.000148613,0.000455436,0.000103135,0.000300412,0.000224523
"SI",0,0,0,0,0
"SIDT2",0.009142108,0.004759569,0.003791745,0.01453954,0.001738943
"SIGIRR",0.002529174,0.002017984,0.000657018,0.000670049,0.002252634
"SIGLEC1",0.000180913,0.000226701,9.07e-05,0.000148435,0
"SIGLEC10",0,0,3.5e-05,1.09e-06,0
"SIGLEC11",0,0,0,0,0
"SIGLEC12",0,0,0,0,0
"SIGLEC14",0,0,0,0,0
"SIGLEC15",7.03e-06,1.2e-05,0,4.02e-06,0
"SIGLEC5",0,0,0,0,0
"SIGLEC6",0,0,0,0,0
"SIGLEC7",0,0,8.24e-06,0,0
"SIGLEC9",0,4.82e-06,8.2e-05,0,0
"SIRPA",3.05e-06,8.36e-05,7.62e-05,0.00096932,0
"SIRPB1",0,5.73e-06,0,2.83e-05,0
"SIRPB2",9.77e-05,5.73e-06,0,3.39e-05,0
"SIRPG",0,0,0,0,0
"SIT1",0.008020116,0.00024407,0,0,0
