"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CLN3",0.00187386,0.003295471,0.003028882,0.002260767,0.001228374,0.00331077,0.002532671,0.008095885,0.000572291,0.003405156,0.001683864,0.002816434
"CLPTM1",0.015677553,0.013095279,0.038708498,0.014801298,0.017585893,0.047311841,0.023991607,0.025196081,0.033554152,0.038490538,0.129807162,0.017588246
"CLPTM1L",0.004007262,0.004578187,0.028469208,0.005860507,0.004048818,0.000850811,0.005932821,0.036992467,0.002531338,0.007287123,0.00887866,0.007706752
"CLSTN1",0.033813644,0.027806519,0.078127119,0.028125293,0.039299223,0.02460776,0.081285208,0.074096749,0.097127321,0.046221159,0.049468143,0.054440965
"CLSTN2",9.51e-06,2.59e-05,3.07e-06,8.72e-07,2.38e-05,3.79e-05,1.74e-05,1.99e-06,5.23e-06,7.97e-06,2.97e-05,6.66e-05
"CLSTN3",0.000568652,0.000296535,0.00199913,0.001121016,0.001596501,0.000391415,0.009893124,0.000988139,0.002232302,0.000611754,0.001301501,0.001072316
"CLTC",0.01859107,0.008696032,0.020768279,0.004783465,0.013960512,0.008748845,0.009423444,0.013569716,0.017118957,0.014363802,0.011635797,0.024443761
"CMKLR1",7.78e-05,0.000129674,0.000202682,0.000134145,0.000177843,0.000187091,8.05e-05,0.000106791,0.000160974,6.1e-05,0.000397569,4.45e-05
"CNNM1",0.00032241,0.001080232,4.2e-06,0.000236357,0.000801139,0.00053795,0.00012176,6.55e-05,7.88e-05,0,0.000277381,0.001846529
"CNNM2",0.000108205,0.000180118,0.00044992,0.000339184,0.000168112,0.000271735,0.000504984,0.000275411,0.000529763,0.000256161,0.000298869,0.000169008
"CNNM3",0.017946611,0.019630641,0.047918543,0.029685148,0.027879104,0.018081239,0.037161316,0.027195315,0.034669309,0.017067405,0.023128652,0.028605259
"CNNM4",0.061515821,0.036326093,0.171490997,0.068258843,0.068596029,0.024506023,0.081156236,0.080784516,0.264767291,0.03208287,0.072703143,0.054782371
"CNR1",0,0.000416029,2.32e-05,0.002881325,9.2e-06,0.000498719,0.001352459,0,1.96e-05,9.91e-05,0.001171409,0
"CNR2",1.03e-05,0,0,0,5.15e-06,0,8.29e-06,0,0,3.53e-06,0,0
"CNST",0.0013164,0.000639849,0.00308941,0.001003274,0.002269792,0.001536264,0.001381216,0.0017135,0.002337882,0.00159149,0.002037098,0.001902796
"CNTFR",9.52e-05,8.34e-05,0.000127543,0.000435936,4.08e-05,0.000589886,0.001242001,4.17e-05,0.000178337,8.34e-05,0.000271029,0.000475945
"CNTN1",0,0.000187193,0.000351809,0.000185366,0,0.000885198,0,0,1.9e-05,4.16e-05,2.84e-05,0.008209108
"CNTN2",0,9.5e-07,3.71e-07,3.2e-07,0,2.23e-07,1.12e-06,4.75e-07,8e-08,3.17e-07,1.49e-07,0
"CNTN3",0,0.017196177,0,0.002646004,0,0.00349702,0,0,0,0,0.000269002,0
"CNTN4",0,0,7.76e-06,0,0,0,0,0.001039667,0,6.4e-05,7.76e-06,1.53e-05
"CNTN5",9.59e-05,0.002564416,0,2.25e-05,0,0.000263022,0.000337693,0.00010467,0,0.001674721,0.001402786,0.000134283
"CNTN6",0,0,8.57e-06,0,0,0,0,0.000167038,0,0,0,0
"CNTNAP1",8.45e-05,6.56e-05,0.000252261,0.000152839,0.00021125,5.23e-05,0.000119693,0.000937344,0.000117852,0.001564865,0.000414426,0.0002197
"CNTNAP2",0,0.002274015,4.44e-05,0.000380561,0,0.001020268,0,0.002086253,0,0.002899891,1.77e-05,0.00268751
"CNTNAP3",0.000268514,0.000213827,0.000111722,0.000386114,0.00031246,0.003262481,0.003189619,0,0,0.00187457,0.000497885,0.008673975
"CNTNAP3B",8.12e-05,4.58e-05,3.73e-05,7.03e-06,3.46e-05,9.03e-05,6.8e-05,0,2.12e-05,0.000123102,4.91e-05,0.000218452
