"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"CLDND1",0.00616287,0.001991038,0.004682035,0.00189958,0.00891739,0.008722929,0.003739226,0.006723494,0.007342449,0.036315263,0.004420039
"CLEC12A",0,0,0,0,5.9e-05,0,0,0,0.002538469,0,0
"CLEC12B",0,0,0,0,0,0,0,0,1.71e-05,0,0
"CLEC17A",0,0,0,0,0,0,0,0,0,0,0
"CLEC1A",1.81e-05,9.66e-06,0,0,1.14e-05,0.000241415,0,0.000151315,0,1.71e-05,0
"CLEC1B",0,0,0,0,0,0,0,0,0,6.91e-05,0
"CLEC2A",0,0,0,1.26e-06,0,0,0,0,0,0,0
"CLEC2B",0.000529136,0,0,0.001353912,0.00098794,0.000506874,0,0.004813092,0.005927627,0.000955019,1.06e-05
"CLEC2D",0.000159017,0.000301126,0.000415363,0.000206347,0.00018234,0.000899252,8.95e-06,0.000457904,0.000194501,6.94e-05,8.75e-05
"CLEC2L",0,3.91e-05,0,0,0,1.4e-06,0,5.28e-06,0,0,0
"CLEC4A",1.42e-05,3.66e-05,1.77e-05,2.95e-05,1.52e-05,4.7e-05,2.84e-05,0,2.73e-05,0,7.37e-06
"CLEC4E",0,0,5.1e-07,0,0,0,1.33e-05,0,0,7.28e-07,0
"CLEC4F",0,0,0,0,0,1.71e-05,0,0,0,0,0
"CLEC4M",0,0,2.11e-06,0,0,0,0,0,0,0,0
"CLEC5A",0,0,0,0,3.63e-07,8.5e-07,0,0,0,0,0
"CLEC6A",0,0,0,0,0,5.89e-06,0,0,0,0,0
"CLEC7A",0.011705046,0.002421157,0.00175293,0.001961578,0.002543358,0.019612614,0.000480642,0.025014292,0.000303335,0.00532004,0.000192043
"CLIC4",0.003618067,0.001022328,0.00447842,0.000198043,0.001525278,0.008519521,0.002389339,0.00481065,0.006426322,0.001805427,0.002503545
"CLMP",0.051978683,0.000111465,0.000360081,0.000369956,0.005698684,0.000202663,0.054965233,0.022126119,0.000646783,0.0094745,0.000215808
"CLN3",0.00187386,0.002260767,0.001228374,0.003037624,0.00331077,0.002532671,0.002029643,0.008095885,0.001603304,0.001683864,0.002166604
"CLPTM1",0.015677553,0.014801298,0.017585893,0.021234763,0.047311841,0.023991607,0.019988501,0.025196081,0.02542066,0.129807162,0.020598707
"CLPTM1L",0.004007262,0.005860507,0.004048818,0.004888285,0.000850811,0.005932821,0.002193753,0.036992467,0.008958749,0.00887866,0.012572744
"CLSTN1",0.033813644,0.028125293,0.039299223,0.018525059,0.02460776,0.081285208,0.019603846,0.074096749,0.032893095,0.049468143,0.041409173
"CLSTN2",9.51e-06,8.72e-07,2.38e-05,1.2e-05,3.79e-05,1.74e-05,7.14e-06,1.99e-06,1.02e-06,2.97e-05,0
"CLSTN3",0.000568652,0.001121016,0.001596501,0.000490846,0.000391415,0.009893124,0.000644758,0.000988139,0.000676134,0.001301501,0.000525841
"CLTC",0.01859107,0.004783465,0.013960512,0.008341806,0.008748845,0.009423444,0.013946104,0.013569716,0.010436451,0.011635797,0.007949762
"CMKLR1",7.78e-05,0.000134145,0.000177843,0.00051107,0.000187091,8.05e-05,0.000122267,0.000106791,2.34e-05,0.000397569,8.39e-05
"CNNM1",0.00032241,0.000236357,0.000801139,0.00221775,0.00053795,0.00012176,0.002071238,6.55e-05,0.000348827,0.000277381,1.64e-05
"CNNM2",0.000108205,0.000339184,0.000168112,0.000135793,0.000271735,0.000504984,0.000208357,0.000275411,0.000151088,0.000298869,0.000411213
"CNNM3",0.017946611,0.029685148,0.027879104,0.011246857,0.018081239,0.037161316,0.026601068,0.027195315,0.023128652,0.023128652,0.019380569
"CNNM4",0.061515821,0.068258843,0.068596029,0.014108429,0.024506023,0.081156236,0.03376672,0.080784516,0.016589588,0.072703143,0.019279847
"CNR1",0,0.002881325,9.2e-06,0.000128771,0.000498719,0.001352459,2.76e-05,0,0,0.001171409,0
"CNR2",1.03e-05,0,5.15e-06,0,0,8.29e-06,0,0,0,0,1.06e-05
"CNST",0.0013164,0.001003274,0.002269792,0.001057378,0.001536264,0.001381216,0.002038425,0.0017135,0.001586111,0.002037098,0.002239947
"CNTFR",9.52e-05,0.000435936,4.08e-05,0.000236251,0.000589886,0.001242001,2.72e-05,4.17e-05,0,0.000271029,0.000180663
"CNTN1",0,0.000185366,0,8.32e-06,0.000885198,0,0.000263619,0,0,2.84e-05,0
"CNTN2",0,3.2e-07,0,7.92e-07,2.23e-07,1.12e-06,0,4.75e-07,0,1.49e-07,1.58e-07
"CNTN3",0,0.002646004,0,0.001154304,0.00349702,0,0,0,0,0.000269002,0
"CNTN4",0,0,0,0,0,0,0,0.001039667,0,7.76e-06,0
"CNTN5",9.59e-05,2.25e-05,0,5.23e-05,0.000263022,0.000337693,0,0.00010467,0,0.001402786,0
"CNTN6",0,0,0,1.99e-06,0,0,0,0.000167038,0,0,0
"CNTNAP1",8.45e-05,0.000152839,0.00021125,0.000123404,5.23e-05,0.000119693,6.34e-06,0.000937344,0.000477491,0.000414426,7.88e-05
"CNTNAP2",0,0.000380561,0,0.000385957,0.001020268,0,0.026036598,0.002086253,0.000390355,1.77e-05,1.04e-05
"CNTNAP3",0.000268514,0.000386114,0.00031246,0.003473066,0.003262481,0.003189619,1.07e-05,0,0.01522503,0.000497885,0
"CNTNAP3B",8.12e-05,7.03e-06,3.46e-05,0.000367416,9.03e-05,6.8e-05,0,0,0.000429267,4.91e-05,0
"CNTNAP4",0,2.02e-05,0,0,0,0,0,0,0,0.000424088,0
"COL13A1",0.000992828,0.003663249,0.000837983,0.001601079,0.000395119,0.005919593,0.00073779,0.001396421,0.004490288,0.000299019,0.00126597
"COL17A1",0.109782966,0.000804281,0.046240017,0.023266291,0.121915263,0.182712238,0.001434998,0.592433049,0.018457062,0.136186769,0.000151572
"COL23A1",8.92e-05,0,5.95e-05,0.000208152,2.81e-05,0.000506941,5.95e-05,1.6e-05,0,0.000149982,8.01e-06
"COL6A2",0.003682044,0.000826345,0.041527052,0.004558429,0.000773617,0.002724283,0.003775804,0.002641533,0.040588258,0.01785651,0.002691508
"COLEC12",0.001188164,0.004696045,0.001298925,0.003772803,0.0022841,0.002609992,0.000946504,0.002437811,0.000785159,0.005553218,0.000688226
"CORIN",0,3.67e-06,0,0,3.62e-07,0,2.87e-07,0,3.62e-07,3.62e-07,9.89e-06
"CPAMD8",2.08e-05,0.000421106,1.94e-05,1.56e-05,7.87e-06,0.005741864,8.3e-06,0.000164083,6.05e-07,1.7e-05,0.000111554
"CPD",0.00619438,0.000652838,0.004946089,0.00251866,0.002038548,0.006132434,0.001027042,0.003240632,0.000979379,0.012396416,0.002965702
"CPM",0.000148564,0.003822695,0.000300814,0.001168241,0.000363744,0.000738294,0.000587076,0.00291457,0,0.002203819,0.001302629
"CPO",0,0,0,1.82e-05,0,3.76e-06,4.36e-06,0,0,0,0
"CR1",0,1.48e-05,0,0,1.05e-06,1.11e-05,0,0,0,0,9.78e-07
"CR2",0.004756304,0.012478961,5.01e-05,9.72e-05,0,0.003808358,0,4.86e-05,0,0.000371873,0.001093088
"CRB1",0,0,0,9.73e-07,1.64e-06,1.54e-06,2.91e-05,9.73e-07,8.22e-06,0,0
"CRB2",0,6.73e-07,9.24e-07,4.72e-07,1.62e-06,1.35e-06,0,0,0,1.08e-06,0
"CRB3",0.00049099,0.000131903,0.000441453,0.000217897,0.000289521,0.000258667,0.000514301,0.001148604,5.3e-05,0.000550796,0.000256747
"CRHR2",5.32e-07,0,0,2.27e-06,1.24e-06,0,5.32e-07,0,0,0,0
"CRIM1",0.00476595,0.001339787,0.005229105,0.006599528,0.005682453,0.001151315,0.005526819,0.009991936,0.010085663,0.009199228,0.005172603
"CRTAM",0,3.57e-06,0,0,1.37e-05,0,1.21e-05,0,3.21e-05,0,0
"CSF1",0.017973813,0.019553229,0.009870835,0.008365796,0.011192807,0.015048688,0.0027992,0.067623466,0.005187491,0.009229973,0.005477555
"CSF1R",0.003727493,0.002392362,0.003460503,0.005234133,0.004800523,0.001601444,0.000761531,0.001762592,0.000361943,0.011725063,0.001571006
"CSF2RB",0,5.33e-07,0,0,0,0,0,0,0,0,0
"CSF3R",0,0.000155289,1.09e-06,0,0,1.93e-06,0,0,0,1.92e-06,0.000112441
"CSMD1",9.89e-07,3.06e-06,4.95e-07,5.89e-06,6.34e-06,0,4.95e-07,4.21e-07,0,4.88e-07,1.26e-06
"CSMD2",0,2.67e-06,0,0,0,0,0.000114828,0,0,0,0
"CSMD3",3.8e-06,1.76e-06,0,1.11e-06,1.69e-05,0,0,0,0,1.88e-06,0
"CSPG4",0,4.58e-05,1.76e-06,1.21e-06,0.000350971,0.00013563,1.53e-05,1.09e-05,2.06e-05,1.32e-05,0
"CSPG5",0.000440995,0.003690861,0.000200452,3.41e-05,0.000421665,0.000936487,0.001590255,0.003023297,0.000329426,0.000948746,0.000670581
"CTLA4",0,0,0,0,0,0,0,0.000301869,0,0.004332805,8.05e-05
"CTNNA1",0.515883447,0.321076728,0.248961111,0.167087645,0.24630758,0.765620911,0.34138896,0.428093017,0.191276554,0.269292304,0.240399724
"CTNNB1",0.187089365,0.034638412,0.081041164,0.221191683,0.086693007,0.147260426,0.064416987,0.148597734,0.051297319,0.200015813,0.146296989
"CTNND1",0.008157379,0.004993723,0.011715272,0.002490888,0.004742849,0.004990489,0.008968612,0.004403356,0.003472525,0.004784917,0.003670166
"CTNS",0.005183822,0.001173848,0.006289704,0.001274293,0.001197883,0.002926353,0.010367644,0.002850391,0.002837842,0.003008968,0.003537839
"CUBN",0.000391037,0.000166984,0.001520699,0.00062414,0.000120597,0.00029686,2.17e-05,0.002166131,0.001068147,0.000258423,0.000293713
"CX3CL1",0.001163434,0.000155797,0.000980344,1.32e-06,0.001692783,0.002620123,1.9e-06,0.005419601,0,0.002348732,0.000494136
"CX3CR1",2.19e-05,8.8e-05,3.29e-05,0.000120327,9.32e-05,5.63e-05,2.19e-05,5.41e-05,2.59e-05,0.00025895,1.2e-05
"CXADR",0.000642513,0.001187031,0.000998791,0.000930171,0.002048787,0.003481408,0.000486765,0.008665812,0.001654885,0.00104669,0.002268494
"CXCL16",0.030802774,0.031575858,0.029808043,0.008918476,0.026214453,0.050979278,0.039722176,0.032457946,0.00063424,0.027425239,0.021750289
"CXCR1",0,0,0,0,0,0,3.12e-05,0,0,0,0
"CXCR2",2.65e-05,0,3.32e-06,1.52e-05,4.73e-05,9.09e-05,1.33e-05,0,0,0.000113495,0
"CXCR3",7.61e-06,1.97e-05,0.000560533,0,2.57e-06,0,0,5.3e-05,0,1.54e-05,1.06e-05
"CXCR4",0.000729602,0.000746977,0.000364801,0.00150205,0.000905096,0.142510713,0.001322404,0.000413064,0.000258599,0.003814334,0.000638371
"CXCR5",4.51e-06,1.77e-06,7.52e-06,4.1e-06,8.61e-06,8.83e-07,5.27e-06,8.21e-06,5.16e-06,6.88e-06,1.23e-05
"CXCR6",0,1.19e-05,1.34e-05,0,0,0.000103267,0,6.3e-06,1.02e-05,1.36e-05,3.15e-06
"CYBA",0.0104682,0.002835694,0.010851648,0.000315246,0.0059622,0.007577186,0.028342797,0.002693214,0.002076674,0.004099386,0.003849119
"CYBB",0.000234007,0.001167643,0.000211177,0.000909704,0.000770079,0.000687207,0.000185494,0.000436412,0.000115152,0.002482964,0.000212059
"CYSLTR1",7.39e-05,0.000238416,0.000203155,0.000554239,0.001055101,0.002644251,0.000147749,0.000554239,0,0.001688161,0.000302312
"CYSLTR2",0,1.06e-06,0,0,0,5.32e-06,0,0,0,0,0
"CYTH1",0.046353695,0.029720412,0.043758381,0.052599631,0.053240401,0.085288361,0.028022468,0.08517741,0.027292951,0.033706901,0.038403443
"CYTH2",0.000502488,8.5e-05,0.000407843,0.000526162,0.000315229,0.00029133,0.000564627,0.000491542,0.000124601,0.000103149,0.000402561
"CYYR1",0,0,0,8.4e-07,7.16e-07,0,0,8.4e-07,0,0,0
"DAB2IP",0.00384167,0.002158834,0.002496051,0.001564056,0.006350532,0.009474554,0.003016554,0.005828747,0.003407189,0.004802962,0.004291833
"DAG1",0.031816963,0.005165782,0.018560418,0.005924657,0.008423848,0.017464518,0.024652687,0.030908067,0.008388012,0.029122522,0.012603111
"DAGLA",0.001781041,0.001894073,0.000954252,0.000575053,0.000721103,0.001600418,0.000554638,0.001053646,0.000603815,0.002619429,0.000389552
"DAGLB",0.001020106,0.000632794,0.00070551,0.000338806,0.000646623,0.000776895,0.00111355,0.000780216,0.000832349,0.00102653,0.000483454
"DCBLD1",0.009526228,0.002210648,0.005344562,0.002168542,0.003880973,0.003422016,0.005109186,0.007649137,0.003940032,0.001856114,0.003047491
"DCBLD2",0.017210639,0.000594921,0.007167434,0.002982543,0.000690098,0.007193922,0.000242478,0.005007949,0.004276808,0.016874837,0.000755803
"DCC",0,6.12e-06,0,0,0,0,0,0,8.9e-07,0,8.7e-07
"DCHS1",0.000436777,0.001091907,0.000352627,0.000855886,0.000671811,0.004342726,0.000496883,0.000384944,0.000122147,0.001042951,0.000507798
"DCHS2",0,4.05e-05,0,3.99e-05,0.000751105,0.000728832,0,0,0.001001473,0,3.99e-05
"DCST2",8.43e-06,3.39e-05,4.21e-05,2.31e-05,2.95e-05,0.000186436,0.000134819,0.000216845,3.84e-05,9.16e-05,3.76e-05
"DCSTAMP",0,0,0,0,0,0,0,0,0,0,0
"DCT",0,4.21e-07,0,0,0,1.69e-06,7.25e-07,9.86e-07,0,0,0
"DDR2",0.000824717,0.00035868,0.000384243,0.001077624,0.000607153,0.000340746,0.001433883,0.000291004,0.000162423,0.000719302,0.000454694
"DGCR2",0.025255297,0.017331137,0.028356038,0.01713019,0.02174173,0.062929076,0.024506341,0.063808962,0.028731398,0.029749993,0.027570466
"DGKG",0.003554392,0.000996823,0.001036698,0.001415983,0.000458416,0.002431809,1.85e-05,0.001468105,0,0.000486482,0.000243236
"DIAPH1",0.041120881,0.011653196,0.023837469,0.011586125,0.009556354,0.065327833,0.020334598,0.021083713,0.012078227,0.032979333,0.009456292
"DISP2",0.000176482,0.000564427,0.000311709,5.39e-05,4.03e-05,0.000200388,0.000238365,4.22e-05,0.000730899,0.000126295,2.34e-05
"DLG1",0.005143735,0.004934958,0.006362077,0.002162766,0.004602487,0.012727164,0.005351975,0.003037448,0.002263059,0.00238557,0.00307913
"DLG2",2.98e-05,6.5e-05,7.44e-06,3.8e-05,0.000148286,2.71e-05,0.000344107,4.94e-05,3.93e-05,4.58e-05,5.7e-06
"DLG4",7.24e-05,0.000358346,0.000161274,0.000326763,0.000165952,0.00028571,0.000129457,0.000497544,6.09e-05,0.000381596,7.86e-05
"DLG5",0.002300321,0.0006071,0.002050593,0.000387443,0.00276022,0.01063644,0.001039915,0.001571995,0.001349913,0.004729226,0.0005413
"DLK1",8.45e-05,5.05e-05,2.11e-05,0.002038609,0.000104554,0.015162559,6.33e-05,0,0,0.000156831,0.000122931
"DLK2",2.25e-05,9.57e-05,7.88e-05,9.69e-05,0.000368814,0.000205045,3.38e-05,0.00102715,7.9e-05,0.002873077,3.88e-05
"DLL1",3.56e-05,8.39e-06,1.02e-05,4.47e-05,9.96e-05,0.000178107,7.89e-05,2.34e-05,9.85e-06,3.06e-05,0.000592394
"DLL3",0,6.29e-05,2.36e-05,0,0,0.000113141,5.9e-06,0.000209648,2.23e-05,0.001309187,0
"DLL4",0.000903309,0.000191378,0.000812695,0.000279831,4.96e-05,0.000220994,0.000775883,0.000272058,9.93e-06,0.000234344,0.000139916
"DMD",8.16e-05,0.000604254,0.00019755,0.000664153,0.000809396,0.000668869,0.000645208,0.00119249,3.34e-05,0.001514015,0.000316404
"DNAJB4",0.0007396,0.000741754,0.000667357,0.000552409,0.000721365,0.001320829,0.001947043,0.000573658,0.000723778,0.001123443,0.000288007
"DNAJC9",0.076971378,0.006042437,0.06353326,0.009307271,0.0083972,0.058239887,0.033718597,0.023291446,0.006387982,0.03285478,0.023580707
"DNER",4e-05,1.38e-06,1.03e-05,1.21e-05,1.64e-06,6.2e-06,9.16e-05,0,0.00010027,2.47e-06,6.03e-06
"DNM2",0.090906141,0.092909411,0.212922527,0.035504839,0.065513545,0.201294124,0.1782779,0.100439553,0.119201802,0.094961462,0.062225684
"DPEP1",0,0,3.8e-06,0,0,2.25e-06,2.33e-05,4.33e-06,0,8.23e-07,0
"DPEP2",0,5.31e-06,9.14e-06,3.79e-06,0,0,3.05e-06,3.79e-06,0,5.2e-06,0
"DPEP3",0,0,0,0,0,0,0,2.05e-06,0,3.48e-06,0
"DPP10",0,0,0,1.06e-05,2.14e-06,0.000308787,0,0,0,7.13e-07,0.000658146
"DPP4",0.010435431,0.010063358,0.005786707,0.003371736,0.000753041,0.000524247,0.000281705,0.009095582,0.007157477,0.024250928,0.003564108
"DPP6",3.8e-06,1.49e-06,1.9e-06,1.38e-05,4.35e-06,2.98e-06,0,8.65e-06,1.45e-06,8.69e-06,6.92e-06
"DPY19L4",0.000531302,0.000312515,0.001150847,0.000230182,0.00079732,0.001107011,0.000758983,0.001084133,0.00128322,0.001052294,0.000563894
"DRD1",0,4.3e-05,0,2.17e-06,1.21e-05,1.34e-06,5.71e-06,1.08e-06,0.000197809,0,0
"DRD2",0,0,0,0,6.24e-06,2.12e-05,0,0,6.24e-06,0,1.81e-06
"DRD4",0,1.48e-06,0,3.92e-07,8.44e-07,3.46e-06,1.67e-06,2.35e-06,4.22e-07,0,0
"DRD5",0,0,0,0,0,0,0,0,0,0,0
"DSC1",1.28e-05,0,5.14e-05,0,9.06e-06,2.98e-05,0,0.00014837,0,9.96e-05,0
"DSC2",0.022071208,0.000110077,0.052767626,0.002539239,0.007141703,0.084910969,0.008160008,0.014321497,0.019951714,0.021205068,0.003829575
"DSC3",1.66e-06,0,2.49e-06,0,0.003453379,0.000156203,1.66e-06,4.08e-05,0.000641154,0.003596166,9.7e-07
"DSCAM",0,2.11e-06,5.8e-07,2.96e-07,3.4e-07,3.67e-05,2.9e-07,0,0,0,8.89e-07
"DSCAML1",1.55e-06,2.02e-06,3.62e-06,1.32e-06,3.13e-05,2.02e-05,0.000122145,0,0,0,0
"DSG1",0.00025925,0,1.3e-05,0,5.88e-05,1.86e-05,7.78e-05,9.43e-05,4.28e-05,8.02e-05,5.03e-05
"DSG2",0.215278178,0.001255063,0.335765131,0.06254046,0.066832367,0.185405327,0.088163526,0.20010392,0.337044031,0.204154541,0.029932086
"DSG3",0,1.24e-05,1.16e-05,0,0.022932522,1.24e-05,0.004349997,6.25e-06,2.2e-05,2.2e-05,6.25e-06
"DSG4",8.19e-05,0,9.1e-06,0,2.55e-05,0,6.37e-05,1.25e-05,0,0.000446906,0
"DSP",0.285314725,0.000652087,0.124503845,0.00081852,0.123645072,0.386156124,0.245557431,0.087431638,0.112199884,0.06572431,0.507810753
"DUOX1",0.000347925,0.001044853,0.000137061,0.000118523,0.005813595,0.004647624,5.25e-05,7.54e-05,2.47e-05,0.002050028,9.7e-05
"DUOX2",0,4.1e-05,1.94e-06,4.49e-05,0.000703052,0.000247369,4.07e-05,0,2.35e-05,0.000171032,0
"DUOXA1",0.001108384,0.007709199,0.000806098,0.001045696,0.021614017,0.032023122,0.000705335,0.00010457,0.000688896,0.020322423,0.000418278
"DUSP15",5.17e-06,6.88e-06,1.94e-06,0,1.63e-06,1.38e-06,6.46e-07,0,0,0,0
"DYNAP",0,0,0,0,0,0,0,0,0,0,0
"DYNC2H1",0.000220102,0.000181597,0.000606052,0.000156379,0.000647012,0.000257722,2.79e-05,7.27e-06,0.008295862,0.000415937,0.000102555
"DYSF",0.000858018,0.0009326,0.002089648,0.001623115,0.001442313,0.001747678,0.001131141,0.000615018,0.000114504,0.000753083,0.000641758
"ECE1",0.006888696,0.009558654,0.008387482,0.002746821,0.006934943,0.052759876,0.001924883,0.004976471,0.015946906,0.018743169,0.00485137
"ECEL1",0,4.44e-06,0,1.83e-06,0,0.000337247,0.00113675,9.16e-06,0,0,0
"ECSCR",2.26e-05,2.94e-05,1.9e-05,7.69e-05,8.54e-05,3.03e-05,3.36e-05,1.09e-05,1.26e-05,7.91e-05,2.37e-05
"EDA",2.09e-05,3.19e-05,2.19e-05,1.74e-05,3.87e-05,5.24e-05,1.1e-05,4.83e-06,0,1.64e-06,1.93e-06
"EDA2R",0,4.43e-06,0,2.82e-05,6.4e-06,2.21e-05,0.000324431,0,0,0.000147158,0
"EDAR",0,0,3.2e-07,8.03e-07,1.6e-05,2.44e-05,2.37e-05,0,9.63e-07,0,3.21e-06
"EDNRA",0.001467907,1.11e-05,0.001538669,0.001047542,2.1e-05,0.000547073,0,0.001001466,6.53e-05,0.006230546,2.03e-05
"EDNRB",8.38e-05,6.7e-05,2.86e-05,0.000264923,0.000539535,0.000122899,4.76e-05,0.000161031,3.05e-05,0.000674423,0.000327257
"EEF1A1",0.111271491,0.052496623,0.098937871,0.079135651,0.074515682,0.114592846,0.124867879,0.074396005,0.116053431,0.084859547,0.061704688
"EFCAB14",0.024045649,0.025632283,0.026965506,0.016055814,0.037205394,0.034516881,0.014285463,0.105003933,0.043078262,0.044338588,0.041995777
"EFNA1",0.014632211,0.027393897,0.007575721,0.010117567,0.034049356,0.03932051,0.072611115,0.103769915,0.011091825,0.009189448,0.040807519
"EFNA2",0,0,2.77e-06,0,0,0,4.98e-05,0,0,0,0
"EFNA3",5.83e-05,0.000283585,9.96e-05,5.84e-05,0.000323111,0.000237282,0.000523444,0.000193338,0.000125937,0.000160283,6.72e-05
"EFNA4",0.000152136,0.000189327,0.000158263,0.000311986,0.000291659,0.001143086,0.000263431,0.001183869,0.000170329,0.000716784,0.00106688
"EFNA5",0.008652774,0.000661692,0.008753601,0.002335553,0.004632153,0.012345376,0.024862528,0.008232505,0.002146938,0.006270036,0.001453806
"EFNB1",0.001772871,0.001108862,0.000564095,0.005530178,0.007678651,0.003657738,0.003482765,0.000608105,0.00212299,0.001531803,0.001116051
"EFNB2",0.090766785,0.005599277,0.027887848,0.005488088,0.009144478,0.004271544,0.015362479,0.004433994,0.012666999,0.010069915,0.007589475
"EFNB3",7.49e-06,0.000110731,4.87e-05,1.08e-05,2.78e-05,0.000409552,5e-06,3.01e-05,0,0.000254337,1.08e-05
"EFR3A",0.003353316,0.001679656,0.004283256,0.001593995,0.000868392,0.001098126,0.002333697,0.003154773,0.002254456,0.002906404,0.002193191
"EGF",0.000670601,6.19e-06,0.000163419,0.000116702,0.000101901,4.4e-05,7.11e-05,0.000226966,0,0.000250576,0.000197186
"EGFR",0.002400561,0.001657511,0.005079201,0.00127016,0.003098423,0.016777765,0.000341404,0.00312927,0.004822765,0.00308729,0.000188314
"EHD1",0.00629447,0.003355932,0.00741194,0.00206378,0.001487746,0.001242811,0.001696941,0.003172872,0.004739261,0.003880242,0.001346005
"EHD2",0.003775268,0.006047116,0.001893347,0.002311037,0.004430081,0.002893357,0.000103529,0.001947596,0.015806681,0.001536454,0.003156448
"EHD3",0.001839556,0.000990308,0.001076813,0.006251365,0.008259791,0.00419578,0.002333096,0.000518406,0.00490524,0.000822814,0.000670878
"ELFN1",9.8e-07,4.17e-06,2.45e-06,1.05e-06,4.32e-06,1.98e-05,0,0,2.47e-06,1.54e-05,5.27e-07
"ELFN2",0.001718699,0.004088583,0.007883008,0.000487578,0.000175587,0.001823802,0.000602221,0.004874404,0.002605347,0.000959277,0.001880657
"EMB",0.00193954,0.000116237,0.004462878,0.002702104,0.001399922,0.001412911,0.000229673,0.017336044,3.57e-06,0.001900098,0.000509564
"EMCN",0,0,0,0,0,0.000259511,0,0,0,0,0
"EMP1",0.02580694,0.002713286,0.047465989,0.002021281,0.008343225,0.001117824,0.002289524,0.008811124,0.021897164,0.005862691,0.000768438
"EMP2",0.06019976,0.204243297,0.084528327,0.067105147,0.10499802,0.198270054,0.016725945,0.319471474,0.033434092,0.031032479,0.109160131
"EMP3",0.024638618,0.0015515,0.024960359,0.003414131,0.001236338,0.002346404,0.000914481,0.013656524,0.018359035,0.002495144,0.000809762
"ENG",0.002828726,0.006665065,0.00226298,0.000360507,0.001814244,0.011512975,0.000141436,0.002747509,0.005567161,0.010836452,0.003300021
"ENO1",0.007638306,0.00865524,0.006316545,0.004265335,0.002174968,0.014010926,0.003014526,0.011760731,0.01034793,0.006891139,0.010738198
"ENOX1",8.64e-06,7.55e-06,8.64e-06,2.86e-05,1.61e-05,8.49e-06,1.73e-05,8.33e-06,7.04e-06,2.21e-05,4.76e-06
"ENOX2",9.67e-05,2.52e-05,4.88e-05,2.98e-05,8.62e-05,0.000106299,6.25e-05,8.21e-05,4.3e-05,9.99e-05,4.62e-05
"ENPEP",3.01e-06,7.95e-06,0.000146507,5.4e-05,0.000191178,0.000237628,0.000116454,3.48e-06,3.64e-06,0.000131093,0.000914882
"ENPP1",6e-05,4.26e-05,6.83e-05,0.000433776,6.01e-05,0.000669789,0.000144845,0.000502493,0.001975265,0.000132629,7.95e-05
"ENPP3",0.000507371,0.00046984,1.78e-05,0.000185463,9.61e-06,0.000878212,7.13e-07,0.001819692,5.09e-06,7.69e-05,0.000891179
"ENPP4",0.000462984,0.000937855,0.001614886,0.000317984,0.000202676,0.001421685,0.000388866,0.000849121,7.24e-06,0.000182409,0.001057616
"ENPP5",5.53e-05,0.000264474,0.000150568,1.04e-05,6.02e-05,0.000234372,0,0.000375176,0,0.000106687,0.000347038
"ENPP6",0,0,0,0,0,4.06e-06,1.4e-06,0,0,0,0
"ENPP7",9.27e-07,0,0,0,0,0,0,0,0,0,0
"ENTPD1",3.22e-07,4.63e-07,3.22e-07,2.35e-07,6.65e-08,1.09e-05,0,0,3.32e-07,6.65e-08,3.13e-07
"ENTPD2",7.67e-05,9e-05,0.000322306,0.000797057,0.000330109,0.000658211,0.000844134,0.000372817,0.000422539,3.96e-05,0.000102846
"ENTPD3",0.000104037,0.000376499,5.74e-05,5.16e-05,8.84e-05,0.000123697,6.12e-05,2.46e-05,1.28e-05,3.84e-05,5.88e-05
"EPB41",0.002283654,0.002112801,0.001867669,0.001142234,0.001644136,0.002825091,0.002128915,0.004188153,0.000334393,0.004751802,0.003444328
"EPB41L1",0.012149648,0.014605106,0.020625574,0.017565463,0.070161179,0.014902986,0.020613397,0.079516111,0.017726585,0.023877897,0.021287015
"EPB41L2",0.001350888,0.000445927,0.001426249,0.000617545,0.000281372,0.001131457,0.000170971,0.000143038,0.00236146,0.00059231,9.18e-05
"EPB41L3",1.46e-05,1.78e-05,1.65e-05,5.81e-05,3.9e-05,0.005767238,1.65e-05,7.26e-06,7.47e-06,0.000146973,2.3e-05
"EPCAM",0.064215271,0.039006523,0.061934869,0.011258143,0.007569295,0.053773138,0.025710686,0.087157879,0.001398756,0.061690151,0.029263851
"EPGN",2.23e-06,0,2.23e-06,0,2.61e-06,1.62e-06,0,0,2.61e-06,3.65e-05,1.48e-05
"EPHA1",5.93e-05,1.02e-05,6.83e-05,1.6e-05,0.000114293,4.54e-05,4.22e-05,6.91e-05,2.3e-05,8.76e-05,1.48e-05
"EPHA10",0.000373858,3.13e-05,0.000330319,6.86e-05,5.94e-05,5.53e-06,4.07e-05,0.000287111,0,0.000906502,2.82e-05
"EPHA2",0.002330927,0.002571437,0.002844917,0.001203285,0.001152017,0.002171212,0.001123438,0.001045189,0.002768896,0.001205897,0.002794555
"EPHA3",0.000333162,0.000223821,0.000377915,0.003502588,0.000418318,0.000802836,0.00104921,0.00043925,0.000439588,0.001212413,0.000211068
"EPHA4",0.00121035,0.000381015,0.000938399,0.002075687,0.001404877,0.003881561,0.000146655,0.00145889,0.002436862,0.000381682,0.001060004
"EPHA5",7.36e-06,0,0,8.66e-07,0,0,0,0,0,5.22e-05,0
