"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"LRFN5",0,0,0,0,0.000301118,0.000669902,0,0,0,0.000219734,0
"LRIG1",0.000170842,0.002388958,3.42e-05,0.000338699,0.004513124,0.005327157,0.001598318,0.002308372,2.66e-05,0.001698745,0.003270228
"LRIG2",0.014089249,0.060222727,0.021281074,0.010158764,0.021647725,0.090329887,0.024818191,0.032453817,0.02862761,0.018994764,0.016668958
"LRIG3",0.000213531,9.09e-05,0.000115799,0.000131453,0.000583911,0.001233076,3.53e-05,0.000289419,0.000151481,9.53e-05,0.000398265
"LRIT1",0,0,0,0,0,1.61e-05,0,0,0,0,0
"LRIT3",1.03e-06,1.36e-05,7.23e-06,3.17e-06,2.42e-06,9.04e-06,7.23e-06,5.28e-06,1.21e-06,2.42e-06,8.45e-06
"LRP1",0.108988426,0.155352419,0.108022126,0.522998235,0.830079175,0.331911631,0.133145967,0.280667032,0.783966952,0.967624465,0.17177084
"LRP10",0.188040372,0.132749295,0.234274424,0.235864441,0.176924729,0.29806503,0.658639218,0.276641479,0.255046341,0.194952939,0.073175232
"LRP11",0.029384519,0.110497145,0.058373001,0.019192916,0.175797637,0.149954895,0.042165833,0.063255526,0.146178547,0.073563983,0.021225709
"LRP12",0.022156711,0.005810453,0.003539558,0.00901164,0.015310967,0.028541694,0.007354925,0.002719029,0.003681914,0.00364546,0.012196866
"LRP1B",8.18e-06,0,0,3.28e-05,0.00010491,0,0,0,0.00194393,4.08e-05,0
"LRP2",2.98e-05,3.22e-05,3.73e-05,3.12e-05,5.3e-05,0.00528196,0,0.033115453,0,0.000189109,0.015257883
"LRP3",3.15e-05,0.000110822,0.000251819,0.007849588,0.029995254,0.048946685,0.009159867,0.015972774,0.000503517,0.032944427,0.002404504
"LRP4",0.000443801,0.000569905,0.00092065,0.000968162,0.001054585,0.001709712,0.00040603,0.000188315,6.44e-05,0.000512977,0.000474113
"LRP5",0.036010229,0.034580614,0.086784258,0.012178827,0.025443621,0.023632287,0.040060175,0.018546484,0.015727135,0.022063191,0.036963326
