,tissueType,cellName,CellMarker,shortName,type
3305,Intestine,Lymphatic endothelial cells,RP11-322E11.5,,other
3306,Intestine,Lymphatic endothelial cells,MPP7,,other
3307,Intestine,Lymphatic endothelial cells,Y_RNA,,other
3308,Intestine,Lymphatic endothelial cells,ABCA4,,other
3309,Intestine,Lymphatic endothelial cells,PLIN5,,other
3310,Intestine,Lymphatic endothelial cells,TP63,,other
3311,Muscle,Megakaryocytes,PF4,,other
3312,Muscle,Megakaryocytes,ITGA2B,,other
3313,Muscle,Megakaryocytes,LIPH,,other
3314,Muscle,Megakaryocytes,ELOVL7,,other
3315,Muscle,Megakaryocytes,GP6,,other
3316,Muscle,Megakaryocytes,ITGB3,,other
3317,Muscle,Megakaryocytes,PTGS1,,other
3318,Muscle,Megakaryocytes,RP11-480G7.1,,other
3319,Muscle,Megakaryocytes,RP11-170N16.2,,other
3320,Muscle,Megakaryocytes,C3orf55,,other
3321,Muscle,Megakaryocytes,RP4-655J12.4,,other
3322,Muscle,Megakaryocytes,TUBB1,,other
3323,Muscle,Megakaryocytes,DCLRE1A,,other
3324,Muscle,Megakaryocytes,TMEM40,,other
3325,Muscle,Megakaryocytes,GNAZ,,other
3326,Muscle,Schwann cells,UGT8,,other
3327,Muscle,Schwann cells,POU3F1,,other
3328,Muscle,Schwann cells,PMP2,,other
3329,Muscle,Schwann cells,GFRA3,,other
3330,Muscle,Schwann cells,KCNC2,,other
3331,Muscle,Schwann cells,MPZ,,other
3332,Muscle,Schwann cells,SOX10,,other
3333,Muscle,Schwann cells,PTPRZ1,,other
3334,Muscle,Schwann cells,COL20A1,,other
3335,Muscle,Schwann cells,LINC01037,,other
3336,Muscle,Schwann cells,BCAN,,other
3337,Muscle,Schwann cells,C2orf72,,other
3338,Muscle,Schwann cells,C10orf82,,other
3339,Muscle,Schwann cells,RP11-946L20.2,,other
3340,Muscle,Schwann cells,MAG,,other
3341,Muscle,Lymphatic endothelial cells,NTS,,other
3342,Muscle,Lymphatic endothelial cells,TFF3,,other
3343,Muscle,Lymphatic endothelial cells,CCL21,,other
3344,Muscle,Lymphatic endothelial cells,STAB2,,other
3345,Muscle,Lymphatic endothelial cells,PTX3,,other
